bien.type,bien.superficie_totale,bien.superficie_habitable,bien.nombre_pieces,bien.nombre_chambres,bien.nombre_salles_bain,bien.etat_general,localisation.gouvernorat,localisation.delegation,localisation.ville,localisation.coordonnees.latitude,localisation.coordonnees.longitude,equipements.climatisation,equipements.chauffage,equipements.ascenseur,equipements.garage,equipements.cave,equipements.terrasse,equipements.balcon,equipements.jardin,equipements.piscine,equipements.cuisine_equipee,equipements.double_vitrage,equipements.interphone,equipements.videophone,equipements.alarme,equipements.gardiennage,equipements.dressing,equipements.cuisine_americaine,equipements.concierge,equipements.salle_de_sport,is_vente,label_conflict,prix_per_m2_log,log_superficie,log_nombre_pieces,nb_equipements,jours_depuis_publication,has_coordinates,coastal_premium,size_category
Appartement,117.5,100.0,4.0,2.0,1.0,Bon,Autres,Autres,Sousse,35.91711,10.55906,False,"Radiateur, Climatisation",True,False,False,False,False,False,True,False,True,True,False,False,True,False,False,False,False,0,False,2.4902117020176937,4.774912960575186,1.6094379124341003,5,1031.0,1,0,2
Appartement,117.0,60.0,2.0,2.0,1.0,Bon,Sousse,Autres,Hammam Sousse,36.40073,10.64013,False,Climatisation,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,0,False,1.0579089955546055,4.770684624465665,1.0986122886681098,3,998.0,1,1,2
Appartement,190.0,160.0,3.0,2.0,1.0,Bon,Autres,Autres,Autres,35.8569,10.5972,False,Central,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,2.6315101239798757,5.25227342804663,1.3862943611198906,0,369.0,1,0,3
Appartement,102.0,76.0,2.0,2.0,1.0,Neuf,Autres,Autres,Tantana,35.91999,10.57875,False,Central,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,0,False,2.5466840094842436,4.634728988229636,1.0986122886681098,4,417.0,1,0,1
Appartement,370.0,70.0,1.0,2.0,1.0,Bon,Sousse,Autres,El Kantaoui,35.89419,10.59822,False,Climatisation,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,0,False,1.3090630131839005,5.916202062607435,0.6931471805599453,3,831.0,1,1,4
Appartement,110.0,100.0,3.0,2.0,1.0,Bon,Autres,Autres,Sousse Khezama,35.82895,10.61702,False,"Radiateur, Climatisation, Central",True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,0,False,2.6835090921860925,4.709530201312334,1.3862943611198906,4,484.0,1,0,1
Appartement,86.0,60.0,2.0,2.0,1.0,Bon,Autres,Autres,Chatt Meriem,36.81872,10.18915,False,Climatisation,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,0,False,2.1468828224753684,4.465908118654584,1.0986122886681098,3,752.0,1,0,1
Maison,170.0,100.0,5.0,2.0,1.0,Bon,Sousse,Autres,Hammam Sousse,35.88433,10.59552,False,Central,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0,False,2.5466840094842436,5.14166355650266,1.791759469228055,1,741.0,1,1,3
Appartement,120.0,90.0,3.0,2.0,1.0,Bon,Autres,Autres,Autres,35.81771,10.64549,False,Au sol,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,0,False,2.719100037288795,4.795790545596741,1.3862943611198906,3,157.0,1,0,2
Appartement,86.0,60.0,2.0,2.0,1.0,Bon,Autres,Autres,Chatt Meriem,35.91674,10.57898,False,"Radiateur, Climatisation",True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,0,False,2.274281316831194,4.465908118654584,1.0986122886681098,4,690.0,1,0,1
